Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
1520.0,-12.656522908163264,1520.0,6.873749942876491,1520.0,-18.099839049060158
1530.0,-12.657701311152714,1530.0,6.99600078473838,1530.0,-18.04836758069288
1540.0,-12.658873707269219,1540.0,7.118033709689327,1540.0,-17.99614491845036
1550.0,-12.660038851924543,1550.0,7.239850091603237,1550.0,-17.943097839819618
1560.0,-12.661195524455419,1560.0,7.361451394386751,1560.0,-17.889201811578527
1570.0,-12.662342580895091,1570.0,7.482839119135573,1570.0,-17.83446306286281
1580.0,-12.663478989264823,1580.0,7.604014770671765,1580.0,-17.778898290277244
1590.0,-12.664603877065007,1590.0,7.724979833646805,1590.0,-17.7225188646349
1600.0,-12.665716583545265,1600.0,7.845735748202488,1600.0,-17.66531999756351
1610.0,-12.666816653800826,1610.0,7.966284032880525,1610.0,-17.607228570220716
1620.0,-12.667901460346306,1620.0,8.08664483391008,1620.0,-17.543945155286014
1630.0,-12.668974665821375,1630.0,8.206805265000362,1630.0,-17.483876680770244
1640.0,-12.670035864420015,1640.0,8.326773333338869,1640.0,-17.423407688184536
1650.0,-12.671082986122423,1650.0,8.446564158349613,1650.0,-17.357886681775398
1660.0,-12.672120777638419,1660.0,8.566157392381845,1660.0,-17.296103381064487
1670.0,-12.673148532752675,1670.0,8.685560872379765,1670.0,-17.23345172120376
1680.0,-12.674167057995932,1680.0,8.804769346148314,1680.0,-17.17034459001496
1690.0,-12.675176063752364,1690.0,8.923780036358618,1690.0,-17.106922212157944
1700.0,-12.676174696128227,1700.0,9.042591774250313,1700.0,-17.043064086237884
1710.0,-12.677162008444876,1710.0,9.161204364184181,1710.0,-16.978521870743858
1720.0,-12.678137015352176,1720.0,9.279618248321587,1720.0,-16.9130139178152
1730.0,-12.679098744572844,1730.0,9.397834272749266,1730.0,-16.8462725635051
1740.0,-12.680046278248238,1740.0,9.515853525712442,1740.0,-16.778071212712298
1750.0,-12.680978786903749,1750.0,9.63367722514835,1750.0,-16.708240104639668
1760.0,-12.681895540382653,1760.0,9.751306647175442,1760.0,-16.636675217362633
1770.0,-12.6827959434916,1770.0,9.868743083117755,1770.0,-16.563339866992237
1780.0,-12.683679592608538,1780.0,9.985987804977643,1780.0,-16.48825933293514
1790.0,-12.684546247117918,1790.0,10.103042043650383,1790.0,-16.411516034896252
